[Line 1] PACKAGE         -> package
[Line 1] VARIABLE        -> main
[Line 3] VARIABLE        -> import
[Line 3] STRING          -> "fmt"
[Line 5] FUNC            -> func
[Line 5] VARIABLE        -> calcularDemanda
[Line 5] LPAREN          -> (
[Line 5] RPAREN          -> )
[Line 5] INT_TYPE        -> int
[Line 5] LBRACE          -> {
[Line 6] CONST           -> const
[Line 6] VARIABLE        -> limite
[Line 6] ASSIGN          -> =
[Line 6] INTEGER         -> 10
[Line 8] VAR             -> var
[Line 8] VARIABLE        -> activo
[Line 8] ASSIGN          -> =
[Line 8] TRUE            -> true
[Line 9] VAR             -> var
[Line 9] VARIABLE        -> terminado
[Line 9] ASSIGN          -> =
[Line 9] FALSE           -> false
[Line 11] VAR             -> var
[Line 11] VARIABLE        -> demanda
[Line 11] ASSIGN          -> =
[Line 11] MAP             -> map
[Line 11] LBRACKET        -> [
[Line 11] STRING_TYPE     -> string
[Line 11] RBRACKET        -> ]
[Line 11] INT_TYPE        -> int
[Line 11] LBRACE          -> {
[Line 12] STRING          -> "FIEC"
[Line 12] COLON           -> :
[Line 12] INTEGER         -> 5
[Line 12] COMMA           -> ,
[Line 13] STRING          -> "Rectorado"
[Line 13] COLON           -> :
[Line 13] INTEGER         -> 8
[Line 13] COMMA           -> ,
[Line 14] STRING          -> "Tecnologias"
[Line 14] COLON           -> :
[Line 14] INTEGER         -> 3
[Line 14] COMMA           -> ,
[Line 15] RBRACE          -> }
[Line 17] VAR             -> var
[Line 17] VARIABLE        -> total
[Line 17] ASSIGN          -> =
[Line 17] INTEGER         -> 0
[Line 19] FOR             -> for
[Line 19] VARIABLE        -> parada
[Line 19] DECLARE_ASSIGN  -> :=
[Line 19] RANGE           -> range
[Line 19] VARIABLE        -> demanda
[Line 19] LBRACE          -> {
[Line 20] VARIABLE        -> total
[Line 20] ASSIGN          -> =
[Line 20] VARIABLE        -> total
[Line 20] PLUS            -> +
[Line 20] VARIABLE        -> demanda
[Line 20] LBRACKET        -> [
[Line 20] VARIABLE        -> parada
[Line 20] RBRACKET        -> ]
[Line 21] RBRACE          -> }
[Line 23] IF              -> if
[Line 23] VARIABLE        -> activo
[Line 23] EQ              -> ==
[Line 23] TRUE            -> true
[Line 23] LBRACE          -> {
[Line 24] VARIABLE        -> total
[Line 24] ASSIGN          -> =
[Line 24] VARIABLE        -> total
[Line 24] PLUS            -> +
[Line 24] INTEGER         -> 1
[Line 25] RBRACE          -> }
[Line 25] ELSE            -> else
[Line 25] LBRACE          -> {
[Line 26] VARIABLE        -> total
[Line 26] ASSIGN          -> =
[Line 26] VARIABLE        -> total
[Line 26] MINUS           -> -
[Line 26] INTEGER         -> 1
[Line 27] RBRACE          -> }
[Line 29] SWITCH          -> switch
[Line 29] VARIABLE        -> total
[Line 29] LBRACE          -> {
[Line 30] CASE            -> case
[Line 30] INTEGER         -> 0
[Line 30] COLON           -> :
[Line 31] VARIABLE        -> terminado
[Line 31] ASSIGN          -> =
[Line 31] TRUE            -> true
[Line 32] CASE            -> case
[Line 32] INTEGER         -> 10
[Line 32] COLON           -> :
[Line 33] VARIABLE        -> terminado
[Line 33] ASSIGN          -> =
[Line 33] FALSE           -> false
[Line 34] DEFAULT         -> default
[Line 34] COLON           -> :
[Line 35] VARIABLE        -> terminado
[Line 35] ASSIGN          -> =
[Line 35] FALSE           -> false
[Line 36] RBRACE          -> }
[Line 38] IF              -> if
[Line 38] VARIABLE        -> terminado
[Line 38] EQ              -> ==
[Line 38] FALSE           -> false
[Line 38] LBRACE          -> {
[Line 39] RETURN          -> return
[Line 39] VARIABLE        -> total
[Line 40] RBRACE          -> }
[Line 42] FMT             -> fmt
[Line 42] DOT             -> .
[Line 42] PRINT           -> Print
[Line 42] LPAREN          -> (
[Line 42] STRING          -> "Hola"
[Line 42] RPAREN          -> )
[Line 43] FMT             -> fmt
[Line 43] DOT             -> .
[Line 43] PRINTLN         -> Println
[Line 43] LPAREN          -> (
[Line 43] VARIABLE        -> variableinexistente
[Line 43] RPAREN          -> )
[Line 45] VAR             -> var
[Line 45] VARIABLE        -> edad
[Line 45] INT_TYPE        -> int
[Line 45] ASSIGN          -> =
[Line 45] INTEGER         -> 10
[Line 46] FMT             -> fmt
[Line 46] DOT             -> .
[Line 46] PRINTLN         -> Println
[Line 46] LPAREN          -> (
[Line 46] VARIABLE        -> edad
[Line 46] RPAREN          -> )
[Line 48] VAR             -> var
[Line 48] VARIABLE        -> a
[Line 48] INT_TYPE        -> int
[Line 48] ASSIGN          -> =
[Line 48] INTEGER         -> 10
[Line 49] VAR             -> var
[Line 49] VARIABLE        -> b
[Line 49] INT_TYPE        -> int
[Line 49] ASSIGN          -> =
[Line 49] INTEGER         -> 20
[Line 50] VAR             -> var
[Line 50] VARIABLE        -> c
[Line 50] INT_TYPE        -> int
[Line 50] ASSIGN          -> =
[Line 50] VARIABLE        -> a
[Line 50] PLUS            -> +
[Line 50] VARIABLE        -> b
[Line 52] VAR             -> var
[Line 52] VARIABLE        -> resultado
[Line 52] BOOL_TYPE       -> bool
[Line 52] ASSIGN          -> =
[Line 52] VARIABLE        -> activo
[Line 52] PLUS            -> +
[Line 52] FALSE           -> false
[Line 53] RETURN          -> return
[Line 53] INTEGER         -> 0
[Line 56] RBRACE          -> }

===== LEXICAL ERRORS =====
[Line 55] ERROR           -> @
