[Line 1] FUNC            -> func
[Line 1] ID              -> calcularDemanda
[Line 1] LPAREN          -> (
[Line 1] RPAREN          -> )
[Line 1] ID              -> int
[Line 1] LBRACE          -> {
[Line 2] CONST           -> const
[Line 2] ID              -> limite
[Line 2] ASSIGN          -> =
[Line 4] VAR             -> var
[Line 4] ID              -> activo
[Line 4] ASSIGN          -> =
[Line 4] TRUE            -> true
[Line 5] VAR             -> var
[Line 5] ID              -> terminado
[Line 5] ASSIGN          -> =
[Line 5] FALSE           -> false
[Line 7] VAR             -> var
[Line 7] ID              -> demanda
[Line 7] ASSIGN          -> =
[Line 7] MAP             -> map
[Line 7] LBRACKET        -> [
[Line 7] ID              -> string
[Line 7] RBRACKET        -> ]
[Line 7] ID              -> int
[Line 7] LBRACE          -> {
[Line 8] ID              -> FIEC
[Line 8] COMMA           -> ,
[Line 9] ID              -> Rectorado
[Line 9] COMMA           -> ,
[Line 10] ID              -> Tecnologias
[Line 10] COMMA           -> ,
[Line 11] RBRACE          -> }
[Line 13] VAR             -> var
[Line 13] ID              -> total
[Line 13] ASSIGN          -> =
[Line 15] FOR             -> for
[Line 15] ID              -> parada
[Line 15] DECLARE_ASSIGN  -> :=
[Line 15] ID              -> range
[Line 15] ID              -> demanda
[Line 15] LBRACE          -> {
[Line 16] ID              -> total
[Line 16] ASSIGN          -> =
[Line 16] ID              -> total
[Line 16] PLUS            -> +
[Line 16] ID              -> demanda
[Line 16] LBRACKET        -> [
[Line 16] ID              -> parada
[Line 16] RBRACKET        -> ]
[Line 17] RBRACE          -> }
[Line 19] IF              -> if
[Line 19] ID              -> activo
[Line 19] EQ              -> ==
[Line 19] TRUE            -> true
[Line 19] LBRACE          -> {
[Line 20] ID              -> total
[Line 20] ASSIGN          -> =
[Line 20] ID              -> total
[Line 20] PLUS            -> +
[Line 21] RBRACE          -> }
[Line 21] ELSE            -> else
[Line 21] LBRACE          -> {
[Line 22] ID              -> total
[Line 22] ASSIGN          -> =
[Line 22] ID              -> total
[Line 22] MINUS           -> -
[Line 23] RBRACE          -> }
[Line 25] SWITCH          -> switch
[Line 25] ID              -> total
[Line 25] LBRACE          -> {
[Line 26] CASE            -> case
[Line 27] ID              -> terminado
[Line 27] ASSIGN          -> =
[Line 27] TRUE            -> true
[Line 28] CASE            -> case
[Line 29] ID              -> terminado
[Line 29] ASSIGN          -> =
[Line 29] FALSE           -> false
[Line 30] DEFAULT         -> default
[Line 31] ID              -> terminado
[Line 31] ASSIGN          -> =
[Line 31] FALSE           -> false
[Line 32] RBRACE          -> }
[Line 34] IF              -> if
[Line 34] ID              -> terminado
[Line 34] EQ              -> ==
[Line 34] FALSE           -> false
[Line 34] LBRACE          -> {
[Line 35] RETURN          -> return
[Line 35] ID              -> total
[Line 36] RBRACE          -> }
[Line 38] RETURN          -> return
[Line 39] RBRACE          -> }
