[Line 41] PACKAGE         -> package
[Line 41] VARIABLE        -> main
[Line 43] FUNC            -> func
[Line 43] VARIABLE        -> calcularDemanda
[Line 43] LPAREN          -> (
[Line 43] RPAREN          -> )
[Line 43] INT_TYPE        -> int
[Line 43] LBRACE          -> {
[Line 44] CONST           -> const
[Line 44] VARIABLE        -> limite
[Line 44] ASSIGN          -> =
[Line 44] INTEGER         -> 10
[Line 46] VAR             -> var
[Line 46] VARIABLE        -> activo
[Line 46] ASSIGN          -> =
[Line 46] TRUE            -> true
[Line 47] VAR             -> var
[Line 47] VARIABLE        -> terminado
[Line 47] ASSIGN          -> =
[Line 47] FALSE           -> false
[Line 49] VAR             -> var
[Line 49] VARIABLE        -> demanda
[Line 49] ASSIGN          -> =
[Line 49] MAP             -> map
[Line 49] LBRACKET        -> [
[Line 49] STRING_TYPE     -> string
[Line 49] RBRACKET        -> ]
[Line 49] INT_TYPE        -> int
[Line 49] LBRACE          -> {
[Line 50] STRING          -> "FIEC"
[Line 50] COLON           -> :
[Line 50] INTEGER         -> 5
[Line 50] COMMA           -> ,
[Line 51] STRING          -> "Rectorado"
[Line 51] COLON           -> :
[Line 51] INTEGER         -> 8
[Line 51] COMMA           -> ,
[Line 52] STRING          -> "Tecnologias"
[Line 52] COLON           -> :
[Line 52] INTEGER         -> 3
[Line 52] COMMA           -> ,
[Line 53] RBRACE          -> }
[Line 55] VAR             -> var
[Line 55] VARIABLE        -> total
[Line 55] ASSIGN          -> =
[Line 55] INTEGER         -> 0
[Line 57] FOR             -> for
[Line 57] VARIABLE        -> parada
[Line 57] DECLARE_ASSIGN  -> :=
[Line 57] RANGE           -> range
[Line 57] VARIABLE        -> demanda
[Line 57] LBRACE          -> {
[Line 58] VARIABLE        -> total
[Line 58] ASSIGN          -> =
[Line 58] VARIABLE        -> total
[Line 58] PLUS            -> +
[Line 58] VARIABLE        -> demanda
[Line 58] LBRACKET        -> [
[Line 58] VARIABLE        -> parada
[Line 58] RBRACKET        -> ]
[Line 59] RBRACE          -> }
[Line 61] IF              -> if
[Line 61] VARIABLE        -> activo
[Line 61] EQ              -> ==
[Line 61] TRUE            -> true
[Line 61] LBRACE          -> {
[Line 62] VARIABLE        -> total
[Line 62] ASSIGN          -> =
[Line 62] VARIABLE        -> total
[Line 62] PLUS            -> +
[Line 62] INTEGER         -> 1
[Line 63] RBRACE          -> }
[Line 63] ELSE            -> else
[Line 63] LBRACE          -> {
[Line 64] VARIABLE        -> total
[Line 64] ASSIGN          -> =
[Line 64] VARIABLE        -> total
[Line 64] MINUS           -> -
[Line 64] INTEGER         -> 1
[Line 65] RBRACE          -> }
[Line 67] SWITCH          -> switch
[Line 67] VARIABLE        -> total
[Line 67] LBRACE          -> {
[Line 68] CASE            -> case
[Line 68] INTEGER         -> 0
[Line 68] COLON           -> :
[Line 69] VARIABLE        -> terminado
[Line 69] ASSIGN          -> =
[Line 69] TRUE            -> true
[Line 70] CASE            -> case
[Line 70] INTEGER         -> 10
[Line 70] COLON           -> :
[Line 71] VARIABLE        -> terminado
[Line 71] ASSIGN          -> =
[Line 71] FALSE           -> false
[Line 72] DEFAULT         -> default
[Line 72] COLON           -> :
[Line 73] VARIABLE        -> terminado
[Line 73] ASSIGN          -> =
[Line 73] FALSE           -> false
[Line 74] RBRACE          -> }
[Line 76] IF              -> if
[Line 76] VARIABLE        -> terminado
[Line 76] EQ              -> ==
[Line 76] FALSE           -> false
[Line 76] LBRACE          -> {
[Line 77] RETURN          -> return
[Line 77] VARIABLE        -> total
[Line 78] RBRACE          -> }
[Line 80] RETURN          -> return
[Line 80] INTEGER         -> 0
[Line 81] RBRACE          -> }

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
Syntax error at line 22: unexpected token '='
Syntax error at line 29: unexpected token '='
Syntax error at line 37: unexpected token 'return'
