[Line 26] PACKAGE         -> package
[Line 26] VARIABLE        -> main
[Line 28] VAR             -> var
[Line 28] VARIABLE        -> nombre
[Line 28] STRING_TYPE     -> string
[Line 30] FMT             -> fmt
[Line 30] DOT             -> .
[Line 30] SCAN            -> Scan
[Line 30] LPAREN          -> (
[Line 30] AMPERSAND       -> &
[Line 30] VARIABLE        -> nombre
[Line 30] RPAREN          -> )
[Line 32] VARIABLE        -> edades
[Line 32] DECLARE_ASSIGN  -> :=
[Line 32] MAP             -> map
[Line 32] LBRACKET        -> [
[Line 32] STRING_TYPE     -> string
[Line 32] RBRACKET        -> ]
[Line 32] INT_TYPE        -> int
[Line 32] LBRACE          -> {
[Line 32] RBRACE          -> }
[Line 34] SWITCH          -> switch
[Line 34] VARIABLE        -> nombre
[Line 34] LBRACE          -> {
[Line 36] CASE            -> case
[Line 36] STRING          -> "Gabriel"
[Line 36] COLON           -> :
[Line 37] FMT             -> fmt
[Line 37] DOT             -> .
[Line 37] PRINTLN         -> Println
[Line 37] LPAREN          -> (
[Line 37] VARIABLE        -> nombre
[Line 37] RPAREN          -> )
[Line 39] CASE            -> case
[Line 39] STRING          -> "Carlos"
[Line 39] COLON           -> :
[Line 40] FMT             -> fmt
[Line 40] DOT             -> .
[Line 40] PRINTLN         -> Println
[Line 40] LPAREN          -> (
[Line 40] VARIABLE        -> nombre
[Line 40] RPAREN          -> )
[Line 42] DEFAULT         -> default
[Line 42] COLON           -> :
[Line 43] FMT             -> fmt
[Line 43] DOT             -> .
[Line 43] PRINTLN         -> Println
[Line 43] LPAREN          -> (
[Line 43] VARIABLE        -> nombre
[Line 43] RPAREN          -> )
[Line 45] RBRACE          -> }
[Line 47] FUNC            -> func
[Line 47] VARIABLE        -> calcular
[Line 47] LPAREN          -> (
[Line 47] VARIABLE        -> a
[Line 47] INT_TYPE        -> int
[Line 47] COMMA           -> ,
[Line 47] VARIABLE        -> b
[Line 47] INT_TYPE        -> int
[Line 47] COMMA           -> ,
[Line 47] VARIABLE        -> c
[Line 47] INT_TYPE        -> int
[Line 47] RPAREN          -> )
[Line 47] INT_TYPE        -> int
[Line 47] LBRACE          -> {
[Line 49] RETURN          -> return
[Line 49] VARIABLE        -> a
[Line 51] RBRACE          -> }

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
