[Line 1] PACKAGE         -> package
[Line 1] VARIABLE        -> main
[Line 3] VARIABLE        -> import
[Line 3] STRING          -> "fmt"
[Line 5] FUNC            -> func
[Line 5] VARIABLE        -> main
[Line 5] LPAREN          -> (
[Line 5] RPAREN          -> )
[Line 5] LBRACE          -> {
[Line 8] VAR             -> var
[Line 8] VARIABLE        -> edad
[Line 8] INT_TYPE        -> int
[Line 9] VAR             -> var
[Line 9] VARIABLE        -> promedio
[Line 9] FLOAT64_TYPE    -> float64
[Line 10] VAR             -> var
[Line 10] VARIABLE        -> nombre
[Line 10] STRING_TYPE     -> string
[Line 11] VAR             -> var
[Line 11] VARIABLE        -> activo
[Line 11] BOOL_TYPE       -> bool
[Line 14] VARIABLE        -> edad
[Line 14] ASSIGN          -> =
[Line 14] INTEGER         -> 21
[Line 17] VARIABLE        -> promedio
[Line 17] ASSIGN          -> =
[Line 17] FLOAT           -> 9.75
[Line 20] VARIABLE        -> nombre
[Line 20] ASSIGN          -> =
[Line 20] STRING          -> "Milena Pazmiño"
[Line 23] VARIABLE        -> activo
[Line 23] ASSIGN          -> =
[Line 23] TRUE            -> true
[Line 31] IF              -> if
[Line 31] VARIABLE        -> edad
[Line 31] GT              -> >
[Line 31] INTEGER         -> 18
[Line 31] LBRACE          -> {
[Line 32] VARIABLE        -> mensaje
[Line 32] DECLARE_ASSIGN  -> :=
[Line 32] STRING          -> "Mayor de edad"
[Line 33] RBRACE          -> }
[Line 39] VARIABLE        -> nombreUsuario
[Line 39] DECLARE_ASSIGN  -> :=
[Line 39] STRING          -> "Milena"
[Line 40] VARIABLE        -> edadUsuario
[Line 40] DECLARE_ASSIGN  -> :=
[Line 40] INTEGER         -> 21
[Line 41] VARIABLE        -> promedioUsuario
[Line 41] DECLARE_ASSIGN  -> :=
[Line 41] FLOAT           -> 9.8
[Line 42] VARIABLE        -> activoUsuario
[Line 42] DECLARE_ASSIGN  -> :=
[Line 42] TRUE            -> true
[Line 44] FMT             -> fmt
[Line 44] DOT             -> .
[Line 44] PRINTLN         -> Println
[Line 44] LPAREN          -> (
[Line 44] VARIABLE        -> nombreUsuario
[Line 44] RPAREN          -> )
[Line 45] FMT             -> fmt
[Line 45] DOT             -> .
[Line 45] PRINTLN         -> Println
[Line 45] LPAREN          -> (
[Line 45] VARIABLE        -> edadUsuario
[Line 45] RPAREN          -> )
[Line 46] FMT             -> fmt
[Line 46] DOT             -> .
[Line 46] PRINTLN         -> Println
[Line 46] LPAREN          -> (
[Line 46] VARIABLE        -> activoUsuario
[Line 46] RPAREN          -> )
[Line 48] VARIABLE        -> nombresVacio
[Line 48] DECLARE_ASSIGN  -> :=
[Line 48] LBRACKET        -> [
[Line 48] RBRACKET        -> ]
[Line 48] STRING_TYPE     -> string
[Line 48] LBRACE          -> {
[Line 48] RBRACE          -> }
[Line 50] FOR             -> for
[Line 50] VARIABLE        -> edadUsuario
[Line 50] GT              -> >
[Line 50] INTEGER         -> 18
[Line 50] LBRACE          -> {
[Line 51] VARIABLE        -> adulto
[Line 51] DECLARE_ASSIGN  -> :=
[Line 51] TRUE            -> true
[Line 52] RBRACE          -> }
[Line 54] VARIABLE        -> suma
[Line 54] DECLARE_ASSIGN  -> :=
[Line 54] INTEGER         -> 5
[Line 54] PLUS            -> +
[Line 54] INTEGER         -> 3
[Line 55] VARIABLE        -> resta
[Line 55] DECLARE_ASSIGN  -> :=
[Line 55] INTEGER         -> 10
[Line 55] MINUS           -> -
[Line 55] INTEGER         -> 2
[Line 56] VARIABLE        -> multiplicacion
[Line 56] DECLARE_ASSIGN  -> :=
[Line 56] INTEGER         -> 4
[Line 56] TIMES           -> *
[Line 56] INTEGER         -> 6
[Line 57] VARIABLE        -> division
[Line 57] DECLARE_ASSIGN  -> :=
[Line 57] INTEGER         -> 20
[Line 57] DIVIDE          -> /
[Line 57] INTEGER         -> 5
[Line 58] VARIABLE        -> operacionCompleta
[Line 58] DECLARE_ASSIGN  -> :=
[Line 58] LPAREN          -> (
[Line 58] INTEGER         -> 5
[Line 58] PLUS            -> +
[Line 58] INTEGER         -> 3
[Line 58] RPAREN          -> )
[Line 58] TIMES           -> *
[Line 58] INTEGER         -> 2
[Line 60] RBRACE          -> }
[Line 62] FUNC            -> func
[Line 62] VARIABLE        -> obtenerEdad
[Line 62] LPAREN          -> (
[Line 62] RPAREN          -> )
[Line 62] INT_TYPE        -> int
[Line 62] LBRACE          -> {
[Line 63] RETURN          -> return
[Line 63] INTEGER         -> 21
[Line 64] RBRACE          -> }
[Line 66] FUNC            -> func
[Line 66] VARIABLE        -> obtenerPromedio
[Line 66] LPAREN          -> (
[Line 66] RPAREN          -> )
[Line 66] FLOAT64_TYPE    -> float64
[Line 66] LBRACE          -> {
[Line 67] RETURN          -> return
[Line 67] FLOAT           -> 9.75
[Line 68] RBRACE          -> }
[Line 70] FUNC            -> func
[Line 70] VARIABLE        -> obtenerNombre
[Line 70] LPAREN          -> (
[Line 70] RPAREN          -> )
[Line 70] STRING_TYPE     -> string
[Line 70] LBRACE          -> {
[Line 71] RETURN          -> return
[Line 71] STRING          -> "Milena"
[Line 72] RBRACE          -> }
[Line 74] FUNC            -> func
[Line 74] VARIABLE        -> estaActivo
[Line 74] LPAREN          -> (
[Line 74] RPAREN          -> )
[Line 74] BOOL_TYPE       -> bool
[Line 74] LBRACE          -> {
[Line 75] RETURN          -> return
[Line 75] TRUE            -> true
[Line 76] RBRACE          -> }

===== SYNTAX ERRORS =====
Syntax error at line 1: unexpected token 'package'
Syntax error at line 5: unexpected token '{'
Syntax error at line 14: unexpected token '='
Syntax error at line 33: unexpected token '}'
Syntax error at line 60: unexpected token '}'
